Title,creator,Tags,Number_of_Copies,Description
Ultimate Oceanpedia: The Most Complete Ocean Reference Ever (National Geographic Kids),Christina Wilsdon,"science, animals, nature",1,"From tsunamis and sea turtles to riptides and reefs, learn all about the creatures, science, and ecology of our oceans, which cover more of the planet than all the continents and are just as important! Travel through all parts of the ocean to learn how it affects of our world, including storms and climate. Amazing facts, photos, illustrations, and diagrams are found throughout this book, along..."
Untamed,Glennon Doyle,inspiration,1,"In her most revealing and powerful book yet, the beloved activist, speaker, and bestselling author of Love Warrior and Carry On, Warrior explores the joy and peace we discover when we stop striving to meet the expectations of the world, and start trusting the voice deep within us. ""Untamed will liberate women--emotionally, spiritually, and physically. It is phenomenal.""--Elizabeth Gilbert,..."
Vegan Cuisine,Jean-Christian Jury,"cookbook, cooking, vegan",1,Cooking and eating without using animal products is a trend that has been around for many years and has only continued to gain in popularity. Vegan Cuisine is healthy and versatile with flavors and ingredients with worldwide appeal. It rivals the artistry of traditional haute cuisine and is no more complicated to cook.Vegan Cuisine shows off the limitless possibilities of this refined gastronomy...
Verity,Colleen Hoover,"fiction, romance, contemporary",1,"A ""sublimely creepy"" psychological thriller from #1 New York Times bestselling author Colleen Hoover (Tarryn Fisher, New York Times bestselling author). Lowen Ashleigh is a struggling writer on the brink of financial ruin when she accepts the job offer of a lifetime. Jeremy Crawford, husband of bestselling author Verity Crawford, has hired Lowen to complete the remaining books in a successful..."
Virgin Suicides (Twenty-Fifth Anniversary Edition),Jeffrey Eugenides,fiction,1,"The National Bestseller from the Pulitzer Prize-Winning Author of Middlesex and The Marriage Plot With a New Introduction First published in 1993, The Virgin Suicides announced the arrival of a major new American novelist. In a quiet suburb of Detroit, the five Lisbon sisters--beautiful, eccentric, and obsessively watched by the neighborhood boys--commit suicide one by one over the course of a..."
Wash: Only a Bookkeeper,Jr. Jose Y. Dalisay,biography,1,"A biography of Washington Z. SyCip, who was born in Manila in 1921. He went on to become one of the foremost practitioners of accounting in the Philippines and Asia, as well as a prime advocate of closer cooperation between the United States, Europe, and Asia."
Wayward Son,Rainbow Rowell,"fantasy, fiction, young adult",1,"Wayward Son is the forthcoming book from #1 New York Times bestselling author Rainbow Rowell and the sequel to Carry On. The book will be published on September 24, 2019 from Wednesday Books, an imprint of St. Martin's Press. This title will be available in hardcover, ebook, and audio editions. The cover and copy for Wayward Son will be revealed soon."
Whale Done Parenting,Ken Blanchard,fiction,1,"How is it they can get the most feared predator in the ocean to urinate on cue, and we can't get our son to stand up and pee into the toilet. Amy Sheldrake's new job at Aqua World, a fictitious marine park in Key West, is one of learning the ropes to become a trainer of killer whales. As the working mother of two-year-old Josh, she is likewise challenged on the home front. Readers of Amy's story..."
Whale Done!: The Power of Positive Relationships,"Kenneth Blanchard, Thad Lacinak, Chuck Tompkins, Jim Ballard",self-help,6,"What do your people at work and your spouse and kids at home have in common with a five-ton killer whale? Probably a whole lot more than you think, according to top business consultant and mega-bestselling author Ken Blanchard and his coauthors from SeaWorld. In this moving and inspirational new book, Blanchard explains that both whales and people perform better when you accentuate the positive...."
What the Dog Saw: And Other Adventures,Malcolm Gladwell,"Non-fiction, psychology",1,"What is the difference between choking and panicking? Why are there dozens of varieties of mustard-but only one variety of ketchup? What do football players teach us about how to hire teachers? What does hair dye tell us about the history of the 20th century?    In the past decade, Malcolm Gladwell has written three books that have radically changed how we understand our world and ourselves: The..."
"What to Expect When You're Expecting, 4th Edition","Sandee Hathaway B.S.N, Arlene Eisenberg, Heidi Murkoff, Sharon Mazel",family,1,"Announcing a brand new, cover-to-cover revision of America's pregnancy bible. What to Expect When You're Expecting is a perennial New York Times bestseller and one of USA Today's 25 most influential books of the past 25 years. It's read by more than 90% of pregnant women who read a pregnancy book--the most iconic, must-have book for parents-to-be, with over 14.5 million copies..."
What You Do Is Who You Are: How to Create Your Business Culture,Ben Horowitz,"business, entrepreneurship, startups",1,"Horowitz, a leading venture capitalist, modern management expert, and New York Times-bestselling author, combines lessons both from history and from modern organizational practice to help executives build cultures that can weather both good and bad times."
Who Moved My Cheese?: An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,"self-help, business",1,"With Who Moved My Cheese? Dr. Spencer Johnson realizes the need for finding the language and tools to deal with change--an issue that makes all of us nervous and uncomfortable.    Most people are fearful of change because they don't believe they have any control over how or when it happens to them. Since change happens either to the individual or by the individual, Spencer Johnson shows us..."
Why Men Love Bitches: From Doormat to Dreamgirl - A Woman's Guide to Holding Her Own in a Relationship,Sherry Argov,self-help,1,"Do you feel like you are too nice? Sherry Argov's Why Men Love Bitches delivers a unique perspective as to why men are attracted to a strong woman who stands up for herself. With saucy detail on every page, this no-nonsense guide reveals why a strong woman is much more desirable than a ""yes woman"" who routinely sacrifices herself. The author provides compelling answers to the tough questions women..."
Why My Cat Is More Impressive Than Your Baby,"Matthew Inman, The The Oatmeal",Comic,1,"Why My Cat Is More Impressive Than Your Baby is chockfull of comics about cats, babies, dogs, lasers, selfies, and pigeons! This book contains a vast wealth of never-before-seen comics, including informative guides, such as: How to comfortably sleep next to your cat 10 ways to befriend a misanthropic cat How to hold a baby when you are not used to holding babies A dog's guide to walking a human..."
Why the Rich Are Getting Richer,"Robert T. Kiyosaki, Tom Wheelwright (Contribution by)","self-help, business",2,"It's Robert Kiyosaki's position that ""It is our educational system that causes the gap between the rich and everyone else."" He laid the foundation for many of his messages in the international best-seller Rich Dad Poor Dad -- the #1 Personal Finance book of all time -- and in Why the Rich Are Getting Richer, he makes his case... In this book, the reader will learn why the gap between the rich and..."
WILL,Will Smith,biography,1,
Wine Dogs Australia,"Craig McGill, Susan Elliott, Max Allen (Introduction by)",travel,1,"Wine Dogs continues to search for those marvellous winery ambassadors from around Australia and this all new edition features over 150 wineries across Australia and over 200 stunning photos of their loyal canine friends. Along the way, the mutts and purebreds are interspersed with short essays by Max Allen, Greg Duncan Powell, Peter Forrestal, Rick Burge, Vanya Cullen, Nick Stock, Sally Ashton,..."
Within These Wicked Walls,Lauren Blackwood,"fantasy, horror, romance, fiction, gothic",2,"The instant New York Times bestseller and Reese's Book Club Fall 2021 YA Pick, now in paperback! Stunningly romantic, Lauren Blackwood's heartstopping Ethiopian inspired Jane Eyre retelling, Within These Wicked Walls, ushers in an exciting and unforgettable fantasy voice. What the heart desires, the house destroys... Andromeda is a debtera--an exorcist hired to cleanse households of the Evil Eye...."
Without Merit: A Novel,Colleen Hoover,"novel, romance, fiction, contemporary",1,"From the #1 New York Times bestselling author of It Ends With Us and November 9 comes a moving and haunting novel of family, love, and the power of the truth.“Not every mistake deserves a consequence. Sometimes the only thing it deserves is forgiveness.” The Voss family is anything but normal. They live in a repurposed church, newly baptized Dollar Voss. The once cancer-stricken mother lives..."
Wizarding World's Great Book of Beasts,"The Editors of MuggleNet, John Stanko (Illustrator)","fiction, fantasy, mythology",3,"From Acromantulas to Thestrals, this stunning book - a beautifully illustrated update of The Unofficial Harry Potter Bestiary - details every monster, beast or creature that has ever appeared in any official Harry Potter book, film, or theatrical production. The Wizarding World's Great Book of Beasts includes more than 200 fascinating, magical creatures in all, with each entry providing a number..."
"Wolfsbane (Nightshade, Book 2)",Andrea Cremer,fiction,1,"This thrilling sequel to the much-talked-about Nightshade begins just where it ended-Calla Tor wakes up in the lair of the Searchers, her sworn enemy, and she's certain her days are numbered. But then the Searchers make her an offer-one that gives her the chance to destroy her former masters and save the pack-and the man-she left behind. Is Ren worth the price of her freedom? And will Shay..."
Work in Progress,Connor Franta,biography,2,"In this intimate memoir of life beyond the camera, Connor Franta shares the lessons he has learned on his journey from small-town boy to Internet sensation—so far. Here, Connor offers a look at his Midwestern upbringing as one of four children in the home and one of five in the classroom; his struggles with identity, body image, and sexuality in his teen years; and his decision to finally..."
World Is Flat 3.0: A Brief History of the Twenty-first Century,Thomas L. Friedman,"history, business",1," A New Edition of the Phenomenal #1 Bestseller ""One mark of a great book is that it makes you see things in a new way, and Mr. Friedman certainly succeeds in that goal,"" the Nobel laureate Joseph E. Stiglitz wrote in The New York Times reviewing The World Is Flat in 2005. In this new edition, Thomas L. Friedman includes fresh stories and insights to help us understand the..."
XVALLEY OF FEAR-CLASSICS PB,ARTHUR CONAN DOYLE,"fiction, classics, mystery",1,
You Can Wind Down From Time to Time - English Translation,"Dan Kim, Young Chae-Lee",self-help,2,"The English version of the book that Chanyeol of EXO gave Block B's leader Zico! The book that will bring us back down the memory lane and help us revisit the small things that we miss out on as an adult, You Can Wind Down From Time To Time, is now finally available in English! Wisdom from the stories of our youth: - Everyone’s an amateur in life - Actions over words Love like you’ve never..."
You're Not Enough (and That's Okay),Allie Beth Stuckey,self-help christian literature,1,"When faced with disappointment, self-doubt, and failure, we rely on positivity mantras and upbeat Bible verses to relieve our anxiety. But instead of easing our emotional burden, the pressure to love ourselves more actually makes it worse. It's time to admit to ourselves what we already know: we are not smart enough; we are not beautiful enough; we are not tough enough; we are not good enough. And..."
You've Reached Sam,Dustin Thao,"fiction, romance",1,"If I Stay meets Your Name in Dustin Thao's You've Reached Sam, a heartfelt novel about love and loss and what it means to say goodbye. How do you move forward when everything you love in on the line? Seventeen-year-old Julie has her future all planned out—move out of her small town with her boyfriend Sam, attend college in the city, spend a summer in Japan. But then Sam dies. And everything..."
,,,539,
